A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
ADD,20210501,99991231,Career Coach for faculty,5613919a-5309-476b-b37f-34be73f965ce,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,0.8,1,CEB-00005
ADD,20210501,99991231,Career Coach for students,96906d3c-16bd-4c50-a775-aa8ed7abe3cb,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,0.8,1,CEB-00006
ADD,20210501,99991231,Chat session for Virtual Agent,ea1bd0f8-d05a-4e61-8b0e-aebf37af4cb5,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,337.5,450,RYZ-00003
ADD,20210501,99991231,Chat session for Virtual Agent (Nonprofit Staff Pricing),98fefc3f-8815-479a-9d0b-f6a95f20cff2,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,101.3,112.5,RYZ-00002
ADD,20210501,99991231,Chat session for Virtual Agent for Faculty,319142c5-ccd7-4c9c-aec0-d60f25330f8e,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,185.6,247.5,RZF-00002
ADD,20210501,99991231,Dynamics 365 Customer Service unified routing add-on,6c4c3246-3326-485a-9813-bca2b8a75580,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,600,800,CB6-00002
ADD,20210501,99991231,Dynamics 365 Customer Service unified routing add-on (Nonprofit Staff Pricing),ba627fdd-5c4b-4339-9e55-3399d982b9c8,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,288,320,CB6-00003
ADD,20210501,99991231,Dynamics 365 Customer Service unified routing add-on for Faculty,c8384540-1c21-4540-a865-9995fa509b62,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,120,160,CB7-00002
ADD,20210501,99991231,Dynamics 365 Customer Service unified routing add-on for Students,9d1cf2dd-3aca-4311-844f-0fcdfa6ae2fd,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,90,120,CB7-00003
ADD,20210501,99991231,Electronic Invoicing Add-on for Dynamics 365,6d1f2d7e-d5ae-44e3-91be-235067d4e990,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,210,300,3IC-00005
ADD,20210501,99991231,Electronic Invoicing Add-on for Dynamics 365 (36 mo),9ca66ebf-6201-4240-ab51-4fe6ba3151ca,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,210,300,3IC-00006
